country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,287709,Operational,HEIDRUN STL-II,Other,Other,Equinor Energy AS,NO_6507/8,Crude Oil,,,,20140820,,353,157064.822394,LOADING SYSTEM; OFFLOADING,7.3658694,65.3436194
Norway,287513,Under construction,FLORØ T,,,Gassco AS,,,,,,,,345,26093.5859598,SUBSEA STRUCTURE; T-CONNECTION,4.1326778,61.4015194
Norway,278945,Operational,ÅSGARD Y,Subsea steel,Subsea,Equinor Energy AS,NO_6507/11,Crude Oil,,,,20001004,,260,126415.719497,MULTI WELL TEMPLATE; GAS PRODUCER,7.557,65.0051667
Norway,285217,Operational,6407/7-A-7 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73813.8138268,SINGLE WELL TEMPLATE; GAS INJECTION,7.2022028,64.2708639
Norway,281801,Closed down,6407/9-A-55 H,,,OKEA ASA,,,,,,19931019,,286,56234.6357407,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7374056,64.2784306
Norway,287401,Operational,ÅSGARD T,Subsea steel,Subsea,Gassco AS,NO_6506/11,,,,,,,310.799987793,154923.537971,SUBSEA STRUCTURE; T-CONNECTION,6.6550306,65.0434417
Norway,458752,Under construction,DVALIN PRODUCTION RISER BASE SSIV,,,,,,,,,20201001,,345,158203.089132,SUBSEA STRUCTURE,7.3274528,65.3252972
Norway,370654,Operational,SNØHVIT PLEM-1,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20070821,,325,98393.6935793,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,21.2265361,71.5713361
Norway,279225,Operational,NORNE B,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971105,,374,153737.657432,MULTI WELL TEMPLATE; OIL PRODUCER,8.0542,66.0151694
Norway,280149,Operational,ÅSGARD C,Floating steel,Above water production,Equinor Energy AS,NO_6506/12,Condensate,,,,20001004,,290,157432.237021,FSU; OFFLOADING - STORAGE,6.8657861,65.1313694
Norway,451474,Operational,6507/5-M-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,420,164883.38507,SINGLE WELL TEMPLATE; GAS PRODUCER,7.4249833,65.5944583
Norway,363659,Operational,ÅSGARD Q,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Crude Oil,,,,20050826,,300,146921.350706,MULTI WELL TEMPLATE; OIL PRODUCER,6.941875,65.0401722
